Name,ID,L,a,b,LRV,R,G,B
Beetroot,Historic,31.4229,17.8952,4.40861,0.0683265,0.398347,0.246735,0.266064
Madder ,Historic,37.1234,18.5969,5.2541,0.096047,0.460187,0.296858,0.31276
Covered Bridge,Historic,31.0897,20.3056,10.0466,0.0668966,0.413792,0.235837,0.229497
Alden Till,Historic,37.3684,20.3802,10.0945,0.0973822,0.478167,0.293248,0.285154
Flowering Chestnut,Historic,42.2703,21.136,8.27374,0.126756,0.530683,0.33742,0.341959
Roseland,Historic,47.6126,19.1879,7.06338,0.164913,0.57413,0.39455,0.399998
Shaker Red,Historic,36.1916,26.0633,14.2089,0.0910809,0.499061,0.263861,0.250288
Codman Claret,Historic,37.4413,33.1876,16.326,0.0977818,0.549166,0.249522,0.250135
Stagecoach,Historic,40.7878,37.8128,20.5201,0.117325,0.611788,0.26255,0.254853
Richardson Brick,Historic,39.1536,24.5815,13.6216,0.107485,0.522268,0.296581,0.280137
Redrock Canyon,Historic,44.0011,35.492,21.5096,0.13839,0.637095,0.303515,0.276583
Cogswell Cedar,Historic,42.4856,24.9154,17.0597,0.128166,0.562887,0.326657,0.288509
Portsmouth Spice,Historic,46.2832,33.6067,25.04,0.154789,0.656019,0.332614,0.273465
Clementine,Historic,56.1575,41.4532,33.2077,0.240697,0.815977,0.400498,0.311643
India Trade,Historic,72.0459,17.9643,42.8313,0.437274,0.878546,0.640799,0.384505
Pumpkin,Historic,57.0209,25.5343,42.4379,0.249441,0.748299,0.464338,0.245264
Andover Cream,Historic,95.0702,-0.011848,15.5914,0.877847,0.981124,0.941697,0.826022
Pale Organza,Historic,93.7081,0.861604,25.5556,0.845945,0.991548,0.922823,0.735311
Emma,Historic,93.1126,0.09532,24.9703,0.832244,0.978119,0.918137,0.733185
Lady Banksia,Historic,91.906,1.93483,33.3022,0.804939,0.991606,0.899033,0.656655
Jonquil,Historic,89.6945,6.37919,34.5523,0.756454,0.998756,0.86306,0.624843
Knightley Straw,Historic,83.9736,6.54438,30.1968,0.64015,0.927749,0.800371,0.598151
Asian Jute,Historic,76.2193,6.27391,24.6613,0.502449,0.830192,0.718061,0.559093
Georgian Yellow,Historic,67.1671,16.8732,47.6964,0.368537,0.82,0.592565,0.297406
Goldrenrod,Historic,75.7986,6.36184,53.5324,0.495603,0.86054,0.710419,0.330224
Curry,Historic,68.0907,9.39715,58.8508,0.380952,0.79465,0.621282,0.202537
Farmhouse Ochre,Historic,59.8155,17.9979,48.1802,0.279191,0.74261,0.514238,0.22177
English Bartlett,Historic,53.0535,13.7269,31.7432,0.210951,0.630295,0.459675,0.282621
Gable Green,Historic,64.3348,5.21438,44.8171,0.332152,0.715977,0.593879,0.287558
Danish Pine,Historic,65.3897,7.86059,30.9447,0.34541,0.72928,0.599522,0.404715
Canyon Gold,Historic,60.8061,6.1632,25.9563,0.290278,0.662681,0.557191,0.395501
Barrett Quince,Historic,86.2108,9.81355,20.1374,0.684095,0.959321,0.817681,0.698082
York Bisque,Historic,88.5071,7.10112,12.2376,0.731246,0.95178,0.851191,0.781148
Lyman Camellia,Historic,82.6096,9.23748,11.1218,0.614304,0.898147,0.781272,0.726248
Woodstock Rose,Historic,83.7433,8.96623,14.6262,0.635736,0.915672,0.793763,0.712493
Tailor's Buff,Historic,80.5371,7.54553,16.1406,0.57638,0.872688,0.762408,0.666969
Blonde Lace,Historic,74.9032,10.7471,19.8915,0.481242,0.837564,0.693224,0.581517
Mountain Laurel,Historic,74.6331,13.3254,15.6533,0.476966,0.844519,0.684151,0.609994
Rundlet Peach,Historic,72.8528,13.3913,17.4245,0.449407,0.827947,0.664872,0.57885
Tudor Ice,Historic,81.8749,-4.43479,-1.96918,0.600676,0.758199,0.808858,0.811815
Appleton,Historic,78.7281,-7.5795,-2.19325,0.544581,0.6983,0.781706,0.778668
Lucinda,Historic,74.0965,-8.11579,-0.419772,0.468543,0.649976,0.732579,0.715898
Bulfinch Blue,Historic,70.2005,-9.4736,-5.75793,0.410351,0.581852,0.694778,0.712303
Emily,Historic,81.3747,-10.2428,-12.4684,0.591513,0.669902,0.818294,0.882409
Citadel Blue,Historic,69.0157,-4.49731,-2.88075,0.393662,0.618682,0.671022,0.680062
Meetinghouse Blue,Historic,62.0873,-11.9134,-13.1321,0.305048,0.450127,0.615762,0.677654
Lexington Blue,Historic,58.9604,-7.43934,-3.85981,0.26985,0.489769,0.572806,0.581581
Standish Blue,Historic,61.2398,-6.37742,-3.82005,0.295223,0.52133,0.594052,0.604975
Portsmouth Blue,Historic,45.6217,-7.50695,-4.87122,0.149909,0.355545,0.439385,0.454208
Rocky Hill,Historic,49.1535,-10.4373,-12.8249,0.17719,0.335673,0.481165,0.541605
Winter Harbor,Historic,47.0879,-6.38379,-7.92793,0.160866,0.368895,0.452097,0.488928
Saxon Blue,Historic,36.2138,-6.01548,-9.99767,0.0911973,0.262328,0.347247,0.395879
Robin's Egg,Historic,68.2459,-15.1997,-29.9265,0.383065,0.390986,0.690482,0.862326
Glacier Bay,Historic,36.418,-7.94613,-38.7248,0.0922717,-0.0993552,0.359147,0.580746
China Aster,Historic,32.2244,0.454126,-13.0498,0.0718499,0.265527,0.298488,0.377432
Tory Blue,Historic,43.9042,-14.2299,-23.7556,0.137721,0.170286,0.438307,0.559892
Bold Bolection,Historic,38.9623,-18.2662,-15.7155,0.10637,0.114287,0.395243,0.457639
Biloxi Blue,Historic,46.1279,-11.2869,-44.7408,0.153634,-0.228793,0.46021,0.723261
Bowen Blue,Historic,43.4917,-8.26403,-39.4799,0.134895,0.0723418,0.427514,0.659989
Seal Blue,Historic,35.6612,-3.51441,-9.65925,0.0883322,0.278279,0.337325,0.388748
Newport Indigo,Historic,26.4653,6.76265,-29.7596,0.0490601,0.192151,0.237858,0.424712
Volute,Historic,36.4561,-7.56169,-5.17528,0.0924728,0.268375,0.351541,0.367682
Asher Benjamin,Historic,35.7477,-5.90839,-6.57998,0.0887767,0.270451,0.342101,0.369993
Muted Mulberry,Historic,42.038,3.4536,-5.67264,0.125246,0.398793,0.38246,0.425889
Concord Grape,Historic,27.4905,12.7729,-2.9582,0.0526999,0.322568,0.226599,0.274008
Plum Island,Historic,27.0245,7.49178,-9.41137,0.0510239,0.275263,0.236284,0.307429
Beauport Aubergine,Historic,29.2869,10.1544,0.82838,0.0595037,0.331518,0.24837,0.267139
Amelia,Historic,80.8751,-6.32865,3.2104,0.582456,0.746399,0.801375,0.762646
Hawthorne,Historic,84.8694,-6.22572,9.76769,0.657513,0.806975,0.843883,0.757436
Elise,Historic,85.4067,-3.32132,14.6974,0.668076,0.84615,0.842325,0.727131
Cottege Green,Historic,77.6286,-12.0968,2.5456,0.525837,0.662948,0.778763,0.73156
Marrett Apple,Historic,80.4836,-4.35466,19.3018,0.575422,0.793816,0.790224,0.640436
Historic Morning Dew,Historic,74.2335,-5.23306,5.6,0.470684,0.689985,0.726741,0.674503
Melville,Historic,67.3295,-8.76601,2.8841,0.370699,0.58337,0.661486,0.620899
Coral Springs,Historic,80.2416,-17.8545,12.282,0.571104,0.669104,0.817828,0.687037
Bristol Green,Historic,64.5546,-14.7246,5.75822,0.334886,0.514417,0.643973,0.570982
Longfellow,Historic,69.4547,-14.0156,3.47863,0.399792,0.564049,0.694698,0.637966
Viscaya,Historic,62.4689,-13.5045,-0.885065,0.309541,0.483826,0.62076,0.596226
Venetian Glass,Historic,69.4762,-12.2259,17.1621,0.400094,0.612958,0.689384,0.540502
Green Bonnet,Historic,69.6783,-19.839,14.006,0.402939,0.545987,0.707061,0.563835
Wainscot Green,Historic,64.267,-3.76211,12.767,0.331311,0.612053,0.617285,0.520736
Whispering Willow,Historic,62.7663,-7.79724,12.4274,0.313074,0.566703,0.610385,0.507213
Brookside,Historic,46.7121,-13.2137,7.22549,0.158008,0.354701,0.458964,0.384317
Veranda Blue,Historic,68.8684,-26.8819,-5.21371,0.391619,0.398367,0.714176,0.691766
Grasshopper,Historic,50.1808,-17.4868,13.6437,0.185704,0.369556,0.500352,0.373567
Blue Winged Teal,Historic,47.7843,-36.894,-6.8067,0.166252,-0.303164,0.508736,0.484825
Grassy Meadow,Historic,49.0622,-30.9183,7.02215,0.176446,0.194199,0.511466,0.405494
Phillips Green,Historic,52.1145,-43.2382,-3.08947,0.202463,-0.475013,0.561553,0.502266
Boardman,Historic,49.3587,-4.19839,12.6017,0.17887,0.457429,0.46708,0.375318
Warren  Tavern,Historic,42.9226,-0.611128,13.9236,0.13106,0.419804,0.396831,0.306846
Hazelwood,Historic,42.9044,-6.72015,3.47136,0.130939,0.35844,0.410206,0.373723
Newbury Moss,Historic,41.8487,-4.32233,10.9661,0.124024,0.380591,0.394427,0.315533
Picholine,Historic,42.4727,-10.531,8.87486,0.128081,0.339015,0.412439,0.333858
Amish Green,Historic,36.9961,-16.8642,5.25531,0.095358,0.227656,0.370969,0.305501
Baize,Historic,34.6115,-5.97937,7.58894,0.0830565,0.29544,0.329633,0.27076
Gedney Green,Historic,33.5213,-8.45904,0.4291,0.0778042,0.25131,0.324864,0.305187
Pointed Fir,Historic,38.7915,-3.51566,3.42388,0.105382,0.342091,0.36469,0.335825
Brattle Spruce,Historic,29.9324,-1.67335,2.06074,0.0620846,0.270053,0.279349,0.263621
Winter Balsam,Historic,28.2343,-8.96168,-2.89738,0.0554501,0.19058,0.277675,0.2774
Moss Glen,Historic,30.4429,0.135241,5.28255,0.0641777,0.292089,0.280007,0.248825
Sayward Pine,Historic,23.6217,-0.221379,-0.353507,0.0398497,0.2184,0.220953,0.22252
Jewett White,Historic,88.4016,1.00953,10.37,0.729034,0.902335,0.865635,0.792688
Plymouth Beige,Historic,84.9509,1.40081,9.77947,0.659109,0.865534,0.826762,0.759733
Wild Oats,Historic,88.2914,3.46556,14.0676,0.726727,0.926923,0.857759,0.764356
Yarmouth Oyster,Historic,83.7605,1.42525,14.3722,0.636066,0.862146,0.812965,0.712924
Parsnip,Historic,79.1501,1.38776,10.8887,0.551892,0.803924,0.76347,0.689449
Langdon Dove,Historic,70.5434,1.37394,10.0779,0.415268,0.709071,0.67171,0.605029
Jackson Antique,Historic,76.4485,-0.264422,10.5764,0.506204,0.76194,0.738349,0.662822
Phelps Putty,Historic,76.9017,0.207665,9.27369,0.513685,0.767488,0.742301,0.677155
Bayberry Wax,Historic,69.8821,0.698623,18.448,0.40582,0.713097,0.665157,0.538162
Sandy Bluff,Historic,66.3242,1.97858,13.967,0.357444,0.675792,0.625508,0.534262
Flaxen Field,Historic,69.3919,3.74213,20.4859,0.39891,0.73176,0.652522,0.51923
Rain Barrel,Historic,62.9263,3.53323,9.18692,0.314986,0.641457,0.587353,0.533702
Pettingill Sage,Historic,53.6826,0.416658,13.0171,0.21677,0.532188,0.500146,0.415039
Wooly Thyme,Historic,53.8751,3.95518,17.2697,0.218571,0.563707,0.493527,0.388645
Burnished Pewter,Historic,49.6411,0.49148,8.15863,0.181198,0.483189,0.460519,0.408655
Milkweed,Historic,53.8782,2.58196,13.6965,0.218601,0.549385,0.497156,0.412763
